weather_code,max_temp,min_temp,mean_temp,snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (mp/h),range_temp,LA,Boston,Chicago,Year,Phase_encoded
1,85.2,58.9,71.0,0.0,0,13.3,26.300000000000004,1,0,0,2020,8
2,85.8,59.8,70.4,0.0,0,11.9,26.0,1,0,0,2020,8
3,85.0,59.8,70.2,0.0,0,10.5,25.200000000000003,1,0,0,2020,7
51,79.2,59.8,68.2,0.0,1,11.1,19.40000000000001,1,0,0,2020,6
3,79.4,58.4,66.6,0.0,0,9.2,21.000000000000007,1,0,0,2020,5
3,81.3,58.1,67.4,0.0,0,10.8,23.2,1,0,0,2020,5
3,84.4,58.5,68.8,0.0,0,12.5,25.90000000000001,1,0,0,2020,4
3,84.6,58.7,70.2,0.0,0,11.5,25.89999999999999,1,0,0,2020,3
3,82.9,59.9,70.4,0.0,0,11.3,23.000000000000007,1,0,0,2020,2
1,84.2,58.3,68.6,0.0,0,10.3,25.90000000000001,1,0,0,2020,2
3,85.8,58.4,68.6,0.0,0,11.5,27.4,1,0,0,2020,3
3,89.3,58.0,70.9,0.0,0,10.9,31.3,1,0,0,2020,3
0,93.2,63.4,76.1,0.0,0,10.8,29.800000000000004,1,0,0,2020,3
0,94.3,63.5,76.0,0.0,0,10.8,30.8,1,0,0,2020,3
3,93.1,61.7,75.8,0.0,0,10.9,31.39999999999999,1,0,0,2020,4
3,90.1,60.4,72.8,0.0,0,9.5,29.7,1,0,0,2020,4
3,84.7,62.6,72.3,0.0,0,10.3,22.1,1,0,0,2020,4
3,82.4,63.2,70.0,0.0,0,10.8,19.200000000000003,1,0,0,2020,4
51,81.3,62.0,69.3,0.0,1,9.5,19.3,1,0,0,2020,5
2,82.5,59.2,69.9,0.0,0,11.8,23.3,1,0,0,2020,5
0,83.7,59.7,70.4,0.0,0,11.3,24.0,1,0,0,2020,5
2,84.2,59.3,70.0,0.0,0,10.8,24.90000000000001,1,0,0,2020,6
3,84.5,58.4,69.0,0.0,0,12.4,26.1,1,0,0,2020,6
3,84.9,58.1,69.0,0.0,0,11.2,26.800000000000004,1,0,0,2020,6
0,93.2,56.3,71.9,0.0,0,12.5,36.900000000000006,1,0,0,2020,6
3,94.3,64.4,75.8,0.0,0,13.6,29.89999999999999,1,0,0,2020,6
3,98.5,68.0,80.1,0.0,0,12.0,30.5,1,0,0,2020,7
2,104.2,72.4,83.4,0.0,0,13.4,31.8,1,0,0,2020,7
3,95.9,69.2,80.8,0.0,0,13.1,26.700000000000003,1,0,0,2020,7
3,97.7,70.0,80.7,0.0,0,13.0,27.700000000000003,1,0,0,2020,8
3,105.8,69.8,82.7,0.0,0,9.4,36.0,1,0,0,2020,8
3,98.6,72.6,82.7,0.0,0,14.2,26.0,1,0,0,2020,8
3,99.3,69.9,81.3,0.0,0,13.2,29.39999999999999,1,0,0,2020,7
3,94.0,68.3,79.9,0.0,0,10.3,25.700000000000003,1,0,0,2020,6
3,96.6,73.9,83.3,0.0,0,11.3,22.69999999999999,1,0,0,2020,5
3,92.0,73.2,80.5,0.0,0,13.0,18.8,1,0,0,2020,4
3,89.3,69.8,77.9,0.0,0,13.2,19.5,1,0,0,2020,3
1,93.2,67.2,77.5,0.0,0,13.1,26.0,1,0,0,2020,2
3,94.1,66.4,78.1,0.0,0,12.4,27.69999999999999,1,0,0,2020,2
0,95.8,66.3,78.0,0.0,0,13.5,29.5,1,0,0,2020,2
1,90.5,62.6,74.7,0.0,0,11.2,27.9,1,0,0,2020,3
3,84.3,61.0,70.7,0.0,0,11.2,23.3,1,0,0,2020,3
3,81.6,60.0,68.4,0.0,0,11.2,21.599999999999994,1,0,0,2020,3
3,80.1,59.3,67.9,0.0,0,10.9,20.8,1,0,0,2020,4
51,80.0,60.6,67.8,0.0,2,11.9,19.4,1,0,0,2020,4
3,83.7,59.8,68.3,0.0,0,11.5,23.90000000000001,1,0,0,2020,4
2,88.2,61.4,71.2,0.0,0,11.5,26.800000000000004,1,0,0,2020,4
3,94.0,62.1,73.8,0.0,0,11.0,31.9,1,0,0,2020,4
0,108.8,68.8,82.9,0.0,0,11.6,40.0,1,0,0,2020,5
0,110.7,79.7,96.5,0.0,0,9.6,31.0,1,0,0,2020,5
1,107.1,71.9,84.2,0.0,0,10.4,35.19999999999999,1,0,0,2020,5
51,86.7,66.5,74.1,0.0,2,10.1,20.200000000000003,1,0,0,2020,6
3,90.0,64.4,75.0,0.0,0,12.3,25.599999999999994,1,0,0,2020,6
3,94.1,60.1,76.6,0.0,0,14.4,33.99999999999999,1,0,0,2020,6
3,94.6,65.3,77.6,0.0,0,13.4,29.3,1,0,0,2020,6
0,92.2,66.2,77.1,0.0,0,13.2,26.0,1,0,0,2020,7
